adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/iB1tCWl4MKl6OO1kMBD5LxM5BmJ.jpg,"[14, 18, 9648]",14696,ja,雨月物語,"In 16th century Japan, peasants Genjuro and Tobei sell their earthenware pots to a group of soldiers in a nearby village, in defiance of a local sage's warning against seeking to profit from warfare. Genjuro's pursuit of both riches and the mysterious Lady Wakasa, as well as Tobei's desire to become a samurai, run the risk of destroying both themselves and their wives, Miyagi and Ohama.",4.0286,/r8RiuKTIYIJBjczBVsfeP5C00CJ.jpg,1953-03-26,Ugetsu,False,7.998,620
False,/6MmYsaK6poR8f4R8jsBnJBU5tfd.jpg,"[18, 35]",400928,en,Gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",6.6125,/9Ts7Vc4wLlpI9oox9mkVUE1tBHy.jpg,2017-04-07,Gifted,False,8.003,5776
False,/2ndw55F40IkALzWyjCCza3M6nqM.jpg,[18],14,en,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",9.5623,/wby9315QzVKdW9BonAefg8jGTTb.jpg,1999-09-15,American Beauty,False,8.003,12604
False,/ruF3Lmd4A8MHbnEBE6lxPMbsHGL.jpg,"[9648, 18]",15,en,Citizen Kane,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",7.7772,/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,1941-04-17,Citizen Kane,False,8.0,5786
False,/3obBVWeKVUh2LBtziL7SNR6yxOf.jpg,"[18, 10749]",51822,es,Amar te duele,Family and friends try to sabotage the budding romance between a young upper class girl and a humble student.,3.647,/wK5UVMVjWMLV71SLpCjUFrO8mHI.jpg,2002-11-08,Love Hurts,False,7.982,341
False,/u7kuUaySqXBVAtqEl9vkTkAzHV9.jpg,"[18, 35]",20453,hi,3 Idiots,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",6.6838,/66A9MqXOyVFCssoloscw79z8Tew.jpg,2009-12-23,3 Idiots,False,7.998,2551
False,/cGV6R2vzT4TYIabf3JgmrOISQ0y.jpg,"[18, 53]",264644,en,Room,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",4.828,/2hHDMeYyZjbGWn0BeNH1cTMxuM7.jpg,2015-10-16,Room,False,7.999,9458
False,/mVLZvSe1Aa8CFKx0cInTamVZJrW.jpg,"[10751, 16, 14]",110416,en,Song of the Sea,"The story of the last Seal Child’s journey home. After their mother’s disappearance, Ben and Saoirse are sent to live with Granny in the city. When they resolve to return to their home by the sea, their journey becomes a race against time as they are drawn into a world Ben knows only from his mother’s folktales. But this is no bedtime story; these fairy folk have been in our world far too long. It soon becomes clear to Ben that Saoirse is the key to their survival.",5.6049,/16LQC6zpqB0l74mVWb93a2oMFnX.jpg,2014-06-23,Song of the Sea,False,8.001,1510
False,/hIeEpk2w1dnC9ly9ZJwwbunH2Cx.jpg,"[16, 18, 35, 878]",838240,es,Robot Dreams,A lonely dog's friendship with his robot companion takes a sad turn when an unexpected malfunction forces him to abandon Robot at the beach. Will Dog ever meet Robot again?,4.7096,/ds402Qq09ybgBcXKiQNTZfzsP5o.jpg,2023-12-06,Robot Dreams,False,7.997,717
False,/okdg55jhsr9k1F2lxsZoQncrLZL.jpg,"[18, 10749, 10752, 36]",3175,en,Barry Lyndon,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",6.013,/x2JQCgLjieWOwvImeGtLmuNgsrq.jpg,1975-12-18,Barry Lyndon,False,7.995,3022
False,/nKwGUiqPdNf47XFjlbR5IFwAaOL.jpg,"[12, 36, 10752]",947,en,Lawrence of Arabia,"The story of British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",7.7107,/AiAm0EtDvyGqNpVoieRw4u65vD1.jpg,1962-12-11,Lawrence of Arabia,False,7.995,3236
False,/jFK8BOPL6ZeWyjMVWX8ajsTTinp.jpg,"[16, 18, 14, 10749]",568160,ja,天気の子,"The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky.",10.1601,/qgrk7r1fV4IjuoeiGS5HOhXNdLJ.jpg,2019-07-19,Weathering with You,False,7.994,2486
